"LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","ALLSKY_SFC_SW_DWN","RH2M","T2M","T2MDEW","T2M_MAX","WS2M","ALLSKY_SFC_LW_DWN","PS","YEAR","T2MWET","T2M_MIN","WD50M","WS50M","ALLSKY_SFC_SW_DIFF","ALLSKY_SFC_SW_DNI","ALLSKY_SRF_ALB","CLOUD_AMT","YEAR","PRECTOTCORR","WD2M","TOA_SW_DWN","GWETPROF","TS","WD10M","WS10M","ALLSKY_KT","YEAR","ALLSKY_SFC_PAR_TOT","CLRSKY_SFC_SW_DWN","GWETROOT","QV2M","T2M_RANGE","GWETTOP","WS10M_MAX","WS10M_MIN","YEAR","WS10M_RANGE","WS50M_MAX","WS50M_MIN","ALLSKY_SFC_UVA","WS50M_RANGE","ALLSKY_SFC_UVB","ALLSKY_SFC_UV_INDEX","CDD0","YEAR","CDD18_3","CLRSKY_KT","CLRSKY_SFC_PAR_TOT","FROST_DAYS","HDD0","HDD18_3","IMERG_PRECTOT","MIDDAY_INSOL","YEAR","SNODP","SZA","TOA_SW_DNI","TS_MAX","TS_MIN","WS2M_MAX","WS2M_MIN","WS2M_RANGE","YEAR","AOD_55","PW","AIRMASS","U10M","V10M","ALLSKY_NKT","ALLSKY_SFC_LW_UP","ALLSKY_SFC_PAR_DIFF","YEAR","ALLSKY_SFC_PAR_DIRH","ALLSKY_SFC_SW_DIRH","ALLSKY_SFC_SW_UP","AOD_55_ADJ","AOD_84","CLOUD_AMT_DAY","CLOUD_AMT_NIGHT","CLOUD_OD","YEAR","CLRSKY_DAYS","CLRSKY_NKT","CLRSKY_SFC_LW_DWN","CLRSKY_SFC_LW_UP","CLRSKY_SFC_PAR_DIFF","CLRSKY_SFC_PAR_DIRH","CLRSKY_SFC_SW_DIFF","CLRSKY_SFC_SW_DIRH","YEAR","CLRSKY_SFC_SW_DNI","CLRSKY_SFC_SW_UP","CLRSKY_SRF_ALB","DISPH","EVLAND","EVPTRNS","FRSEAICE","FRSNO","YEAR","IMERG_PRECLIQUID_PROB","IMERG_PRECTOT_COUNT","ORIGINAL_ALLSKY_SFC_LW_DWN","ORIGINAL_ALLSKY_SFC_SW_DIFF","ORIGINAL_ALLSKY_SFC_SW_DIRH","ORIGINAL_ALLSKY_SFC_SW_DWN","ORIGINAL_CLRSKY_SFC_LW_DWN","ORIGINAL_CLRSKY_SFC_SW_DWN","YEAR","PBLTOP","PRECSNO","PRECSNOLAND","PSH","QV10M","RHOA","SLP","SRF_ALB_ADJ","YEAR","T10M","T10M_MAX","T10M_MIN","T10M_RANGE","TO3","TQV","TROPPB","TROPQ","YEAR","TROPT","TSOIL1","TSOIL2","TSOIL3","TSOIL4","TSOIL5","TSOIL6","TSURF","YEAR","TS_ADJ","TS_RANGE","U2M","U50M","V2M","V50M","Z0M"
108.025131,34.300369,2025,6,10,161,2025-06-10,21.54,41.91,27.61,12.11,35.06,2.07,33.75,92.5,2025,19.86,20.06,61.8,4.38,15.6,6.67,0.18,85.48,2025,0.12,63.8,41.4,0.45,28.67,70.5,3.12,0.52,2025,9.59,27.99,0.42,9.64,15,0.36,4.32,2.05,2025,2.27,7.29,3.3,1.23,3.99,0.03,1.78,27.56,2025,9.26,0.68,12.35,0,0,0,NA,70.98,2025,0,NA,71.34,40.11,19.42,2.87,0.89,1.98,2025,0.46,2.64,4.11,-0.76,-0.27,0.68,39.84,8.88,2025,0.71,5.95,3.69,0.46,0.33,94.04,71.2,1.83,2025,0,0.88,32.09,39.8,4.96,7.39,8.94,19.05,2025,25.47,4.55,0.18,0.32,2.01,0.7,0,0,2025,NA,NA,NA,19.65,1.89,NA,NA,NA,2025,80.99,0,0,0.52,9.19,1.07,100.5,0.18,2025,27.77,33.81,20.45,13.36,310.88,25.2,17.37,0.05,2025,-57.05,27.63,25.59,22.31,17.89,13.55,13.43,28.67,2025,27.17,20.69,-0.56,-0.58,-0.28,-0.31,0.06
108.025131,34.300369,2025,6,11,162,2025-06-11,26.53,36.26,29.47,11.49,37.97,1.81,33.52,92.35,2025,20.48,20.46,157.4,4.48,9.82,20.57,0.16,18.15,2025,0,136.7,41.41,0.45,30.83,145.1,2.85,0.64,2025,11.67,27.53,0.41,9.22,17.51,0.35,3.97,0.53,2025,3.44,7.74,0.78,1.46,6.96,0.04,2.19,29.21,2025,10.91,0.66,12.09,0,0,0,NA,78.98,2025,0,NA,71.34,43.95,18.96,2.91,0.43,2.48,2025,0.57,2.53,4.1,-1.12,1.61,0.84,41.77,6.18,2025,5.5,16.71,4.03,0.57,0.4,20.76,13.8,1.28,2025,0,0.87,32.93,41.76,5.45,6.64,9.78,17.75,2025,23.63,4.17,0.16,0.32,2.16,0.67,0,0,2025,NA,NA,NA,11.84,14.69,NA,NA,NA,2025,72.25,0,0,0.64,8.86,1.06,100.32,0.16,2025,29.65,36.56,22.31,14.25,307.96,24.12,13.12,0.01,2025,-61.4,29.02,26.23,22.63,18.06,13.63,13.43,30.82,2025,30.75,24.99,-0.92,-1.21,0.97,2.9,0.06
108.025131,34.300369,2025,6,12,163,2025-06-12,27.8,36.66,31.11,13.19,39,1.83,34.43,92.2,2025,22.15,22.05,186.2,4.54,7.94,25.26,0.17,24.22,2025,0,173.2,41.44,0.45,32.76,177.3,2.86,0.67,2025,12.31,28.1,0.41,10.37,16.95,0.34,3.67,1.77,2025,1.9,7.02,3.4,1.55,3.62,0.04,2.32,30.52,2025,12.22,0.68,12.44,0,0,0,NA,80.96,2025,0,NA,71.33,45.63,20.89,2.73,0.76,1.97,2025,0.49,2.69,4.09,-0.11,2.31,0.88,43,5.27,2025,7.04,19.87,4.6,0.48,0.34,13.2,42.6,1.28,2025,0,0.89,33.99,42.99,5.09,7.34,9.04,19.07,2025,25.65,4.65,0.18,0.32,2.02,0.51,0,0,2025,NA,NA,NA,9.59,18.21,NA,NA,NA,2025,72.05,0,0,0.67,9.93,1.05,100.15,0.17,2025,31.11,37.49,23.26,14.23,301.37,25.97,13.13,0,2025,-61.65,30.62,27.39,23.09,18.24,13.72,13.43,32.76,2025,33.05,24.74,-0.18,0.4,1.48,3.71,0.06
108.025131,34.300369,2025,6,13,164,2025-06-13,22.72,38.96,31.43,14.81,37.94,1.91,36.71,91.93,2025,23.12,24.66,187.9,4.69,12.38,11.53,0.16,73.79,2025,0.54,165.6,41.45,0.45,32.82,172.1,2.93,0.55,2025,10.17,26.25,0.41,11.52,13.28,0.34,5.55,0.56,2025,4.99,8.4,0.88,1.26,7.52,0.03,1.88,31.3,2025,13,0.63,11.65,0,0,0,NA,64.68,2025,0,NA,71.32,42.85,24,4.1,0.45,3.65,2025,0.59,3.57,4.08,-0.21,1.49,0.72,41.76,7.62,2025,2.55,10.36,3.4,0.59,0.42,67.44,84.37,1.99,2025,0,0.83,35.24,41.73,5.98,5.67,10.68,15.57,2025,20.91,3.83,0.16,0.33,1.9,0.32,0,0,2025,NA,NA,NA,15.78,6.94,NA,NA,NA,2025,76.5,0,0,0.55,11.2,1.04,99.84,0.16,2025,31.32,36.88,25.33,11.55,295.36,34.24,13.06,0.01,2025,-62.2,31.43,28.52,23.7,18.45,13.8,13.43,32.82,2025,30.71,18.85,-0.25,0.34,0.98,2.48,0.06
108.025131,34.300369,2025,6,14,165,2025-06-14,17.55,55.27,23.82,13.49,31.08,3.58,33.5,92.27,2025,18.66,17.8,313.1,7.34,11.84,5.06,0.18,74.06,2025,15.85,312.6,41.46,0.46,24.33,312.3,5.28,0.42,2025,7.91,26.42,0.43,10.58,13.28,0.52,9.58,2.37,2025,7.21,12.34,4.57,1.02,7.77,0.03,1.55,24.44,2025,6.14,0.64,11.59,0,0,0,NA,55.36,2025,0,NA,71.29,33.53,16.97,6.52,1.19,5.33,2025,0.83,3.04,4.07,3.77,-3.44,0.55,38.2,7.16,2025,0.75,5.71,2.93,0.83,0.56,86.54,53.26,7.53,2025,0,0.83,31.24,38.15,6.58,5.01,11.73,14.69,2025,19.43,4.24,0.18,0.33,4.52,1.16,0,0,2025,NA,NA,NA,15.44,2.11,NA,NA,NA,2025,82.56,0,0,0.42,10.12,1.08,100.39,0.18,2025,23.79,30.2,18.45,11.75,308.79,28.82,17.5,0.02,2025,-54.52,26.33,27.36,24.16,18.67,13.89,13.43,24.33,2025,24.16,16.56,2.55,5.19,-2.34,-4.85,0.06
108.025131,34.300369,2025,6,15,166,2025-06-15,30.19,37.16,24.26,6.47,32.95,2.29,28.45,92.14,2025,15.36,15.09,296.3,5.26,6.36,31.89,0.17,1.93,2025,0,297.9,41.46,0.45,25.09,298,3.48,0.73,2025,12.96,30.22,0.43,6.66,17.86,0.39,4.65,1.85,2025,2.8,6.71,3.1,1.65,3.61,0.04,2.21,24.02,2025,5.72,0.73,12.97,0,0,0,NA,87.72,2025,0,NA,71.23,37.69,14.25,3.34,0.87,2.47,2025,0.29,1.36,4.06,2.77,-1.47,0.95,39.05,4.24,2025,8.72,23.84,4.66,0.29,0.22,1.45,2.73,1.35,2025,1,0.95,28.37,39.04,4.19,8.79,7.66,22.56,2025,31.01,4.67,0.17,0.33,2.95,2.1,0,0,2025,NA,NA,NA,7.81,22.37,NA,NA,NA,2025,78.14,0,0,0.72,6.13,1.08,100.26,0.17,2025,24.46,32.04,15.75,16.29,342.27,12.79,24.75,0.03,2025,-44.82,25.05,25.08,23.93,18.89,13.98,13.43,25.09,2025,25.83,23.44,1.85,4.22,-0.98,-2.08,0.06
108.025131,34.300369,2025,6,16,167,2025-06-16,30.12,33.04,25.97,6.54,35.71,1.53,29.37,92.05,2025,16.25,15.26,298,4.19,5.51,33.59,0.17,3.63,2025,0,309.9,41.47,0.45,27.29,304.6,2.56,0.73,2025,13.01,30.14,0.42,6.64,20.45,0.37,3.76,1.58,2025,2.18,6.73,1.67,1.66,5.06,0.04,2.17,25.49,2025,7.19,0.73,13.01,0,0,0,NA,86.42,2025,0,NA,71.23,42.12,14.28,2.68,1.18,1.5,2025,0.27,1.53,4.06,0.55,-0.38,0.95,40.33,3.87,2025,9.14,24.62,4.93,0.27,0.18,0.62,8.65,1.73,2025,1,0.95,29.28,40.33,3.84,9.18,6.66,23.47,2025,32.69,4.94,0.17,0.33,2.85,1.89,0,0,2025,NA,NA,NA,6.75,23.37,NA,NA,NA,2025,78.93,0,0,0.72,6.08,1.07,100.05,0.17,2025,26.35,34.37,16.38,17.99,335.27,14.88,21.28,0.04,2025,-50.58,26.21,24.96,23.56,19.06,14.07,13.43,27.29,2025,28.12,27.84,0.45,0.75,-0.38,-0.4,0.06
108.025131,34.300369,2025,6,17,168,2025-06-17,19.77,38.14,28.71,12.31,36.51,1.6,34.89,91.83,2025,20.51,21.24,110.9,3.4,13.96,7.08,0.18,88.64,2025,0.15,105.7,41.47,0.45,28.89,106.8,2.45,0.48,2025,9,27.97,0.42,9.96,15.27,0.36,4.19,1.04,2025,3.15,4.69,1.61,1.17,3.08,0.03,1.74,28.88,2025,10.58,0.67,12.56,0,0,0,NA,62.51,2025,0,NA,71.24,41.51,18.87,3.16,0.65,2.51,2025,0.43,3.3,4.06,-2.17,0.66,0.62,40.44,8.02,2025,0.98,5.81,3.41,0.43,0.3,82.93,98.15,3.63,2025,0,0.88,33.3,40.4,4.64,7.92,8,19.97,2025,27.07,4.57,0.18,0.33,2.05,0.98,0,0,2025,NA,NA,NA,17.2,2.57,NA,NA,NA,2025,80.61,0,0,0.47,9.19,1.05,99.74,0.18,2025,29.22,35.44,22.77,12.67,303.7,34.31,13.83,0.01,2025,-61.37,27.53,25.77,23.47,19.19,14.17,13.44,28.89,2025,28.34,22.64,-1.45,-2.92,0.41,1.12,0.06
108.025131,34.300369,2025,6,18,169,2025-06-18,14.14,59.09,26.94,17.65,32.68,1.38,36.75,91.96,2025,22.29,21.8,71.9,3.15,10.62,4.06,0.2,98.48,2025,4.4,78.8,41.48,0.45,28.45,75.2,2.11,0.34,2025,6.77,26.2,0.42,13.83,10.88,0.42,3.53,0.61,2025,2.92,4.21,0.59,0.88,3.62,0.02,1.36,27.24,2025,8.94,0.63,11.85,0,0,0,NA,42.06,2025,0,NA,71.24,38.32,21.36,2.58,0.49,2.09,2025,0.76,4.57,4.06,-1.45,-0.38,0.44,39.27,6.43,2025,0.34,3.52,2.73,0.76,0.53,97.79,99.62,11.67,2025,0,0.82,34.36,39.21,6.81,5.04,11.83,14.37,2025,18.7,4.9,0.2,0.33,2.95,0.8,0,0,2025,NA,NA,NA,13.18,0.96,NA,NA,NA,2025,79.51,0,0,0.34,13.16,1.06,99.93,0.2,2025,26.75,31.37,22.06,9.31,292.07,45.46,12.48,0,2025,-67.45,27.9,26.43,23.61,19.32,14.26,13.44,28.45,2025,26.11,16.96,-0.97,-2.11,-0.19,-0.69,0.07
108.025131,34.300369,2025,6,19,170,2025-06-19,11.81,66.95,25.64,18.48,31.43,1.62,36.14,92.1,2025,22.06,21.37,36,3.54,9.56,0.54,0.19,97.49,2025,0.95,29.2,41.49,0.45,26.34,33.1,2.47,0.28,2025,5.61,25.9,0.42,14.54,10.06,0.42,4.5,0.6,2025,3.9,5.47,0.79,0.75,4.68,0.02,1.19,26.4,2025,8.1,0.62,11.63,0,0,0,NA,36.08,2025,0,NA,71.23,34.87,21.09,3.3,0.34,2.96,2025,0.8,4.68,4.06,-1.05,-1.62,0.37,36.79,5.57,2025,0.04,2.25,2.09,0.8,0.54,99.3,94.46,8.97,2025,0,0.81,33.91,36.73,7.18,4.44,12.53,13.38,2025,17.71,4.38,0.19,0.33,1.67,0.52,0,0,2025,NA,NA,NA,11.69,0.12,NA,NA,NA,2025,82.33,0,0,0.28,14.13,1.07,100.11,0.19,2025,25.68,30.52,21.74,8.78,288.59,46.21,12.09,0,2025,-69.46,26.33,25.95,23.74,19.45,14.36,13.44,26.34,2025,21.29,13.78,-0.66,-1.58,-1.18,-2.17,0.07
108.025131,34.300369,2025,6,20,171,2025-06-20,11.65,62.7,26,17.76,31.32,1.75,35.58,92.31,2025,21.88,21.37,10.8,3.36,9.19,1.06,0.18,97.29,2025,2.36,18.9,41.49,0.45,26.8,15.6,2.55,0.28,2025,5.57,27.13,0.42,13.88,9.95,0.41,4.72,0.52,2025,4.2,5.46,0.76,0.76,4.7,0.02,1.18,26.35,2025,8.05,0.65,12.21,0,0,0,NA,31.6,2025,0,NA,71.22,36.21,20.92,3.39,0.26,3.13,2025,0.6,4.19,4.06,-0.48,-1.72,0.37,38.68,5.45,2025,0.11,2.46,1.98,0.6,0.4,98.31,95.59,10.4,2025,0,0.85,33.52,38.63,6.19,6.02,10.59,16.54,2025,21.95,4.46,0.18,0.33,1.98,0.57,0,0,2025,NA,NA,NA,11.34,0.31,NA,NA,NA,2025,83,0,0,0.28,13.61,1.07,100.35,0.18,2025,25.92,30.22,21.84,8.38,289.98,42.03,11.92,0,2025,-68.11,26.5,25.65,23.7,19.57,14.45,13.44,26.79,2025,25.01,15.29,-0.41,-0.43,-1.2,-2.28,0.07
108.025131,34.300369,2025,6,21,172,2025-06-21,23.41,59.77,27.13,17.55,33.43,1.59,34.98,92.41,2025,22.34,19.51,84.1,3.13,10.68,15.37,0.16,58.87,2025,0.71,86.3,41.49,0.45,28.82,85.5,2.38,0.56,2025,10.5,26.71,0.42,13.66,13.92,0.4,4.28,0.88,2025,3.4,4.92,1.35,1.33,3.57,0.04,2.1,26.47,2025,8.17,0.64,11.87,0,0,0,NA,70.45,2025,0,NA,71.19,39.25,18.92,3.21,0.47,2.74,2025,0.74,3.69,4.06,-1.61,-0.13,0.74,40.85,6.94,2025,3.56,12.74,3.3,0.74,0.49,44.56,82.71,2.26,2025,0,0.84,33.78,40.82,6.21,5.66,10.67,16.04,2025,20.81,3.69,0.16,0.33,2.45,1.07,0,0,2025,NA,NA,NA,13.33,10.08,NA,NA,NA,2025,82.57,0,0,0.56,13.24,1.07,100.45,0.16,2025,27,31.99,20.36,11.63,292.09,36.19,11.39,0,2025,-67.44,27.42,25.67,23.65,19.68,14.54,13.44,28.82,2025,29.02,20.33,-1.18,-1.96,-0.08,-0.2,0.07
108.025131,34.300369,2025,6,22,173,2025-06-22,17.7,60.93,25.91,17.2,31.49,1.59,35.74,92.41,2025,21.56,20.45,111.9,3.09,12.16,4,0.18,96.12,2025,2.23,102.6,41.48,0.45,26.44,103,2.31,0.43,2025,8.15,27.46,0.42,13.38,11.04,0.41,4.96,0.75,2025,4.21,5.88,1.03,1.08,4.85,0.03,1.75,25.97,2025,7.67,0.66,12.38,0,0,0,NA,65.66,2025,0,NA,71.21,34.1,19.66,3.64,0.41,3.23,2025,0.48,3.97,4.07,-0.86,0.2,0.56,41.03,7.52,2025,0.63,5.55,3.04,0.48,0.32,95.88,96.53,10.95,2025,0,0.86,33.28,40.97,5.58,6.8,9.43,18.04,2025,24.3,4.55,0.18,0.33,1.97,0.43,0,0,2025,NA,NA,NA,16.08,1.62,NA,NA,NA,2025,81.8,0,0,0.43,12.95,1.07,100.48,0.18,2025,25.83,30.82,21.17,9.65,293.09,39.81,15.39,0.05,2025,-59.01,26.75,26.16,23.76,19.79,14.64,13.44,26.44,2025,29.44,14.44,-0.68,-0.8,0.15,0.32,0.07
108.025131,34.300369,2025,6,23,174,2025-06-23,25.5,50.11,26.29,13.69,33.15,1.76,33.95,92.22,2025,19.99,18.67,81.4,3.77,10.04,18.56,0.16,65.2,2025,0.3,82.3,41.47,0.45,27.85,79.9,2.67,0.61,2025,11.4,27.57,0.42,10.7,14.48,0.39,5.06,0.67,2025,4.39,5.92,1.05,1.44,4.87,0.04,2.05,25.91,2025,7.61,0.66,12.24,0,0,0,NA,73.76,2025,0,NA,71.16,39.01,17.81,3.65,0.53,3.12,2025,0.44,3.17,4.07,-1.86,-0.33,0.8,39.99,6.46,2025,4.94,15.46,3.73,0.44,0.3,47.9,94.01,3.28,2025,0,0.87,32.13,39.95,5.39,6.85,9.15,18.42,2025,25.17,4.01,0.16,0.33,2.35,0.98,0,0,2025,NA,NA,NA,12.38,13.12,NA,NA,NA,2025,77.51,0,0,0.61,10.37,1.07,100.31,0.16,2025,26.18,31.64,19.6,12.04,310.86,31.64,21.47,0.1,2025,-48.11,26.75,25.5,23.74,19.88,14.73,13.44,27.85,2025,27.45,21.2,-1.34,-2.48,-0.18,-0.37,0.07
108.025131,34.300369,2025,6,24,175,2025-06-24,11.26,49.96,25.24,13.53,30.56,1.62,34.32,92.46,2025,19.38,20.41,96.3,3.39,9.22,0.15,0.18,99.77,2025,1.78,87.2,41.46,0.45,25.44,90.2,2.45,0.27,2025,5.17,23.85,0.42,10.55,10.15,0.39,4.6,0.22,2025,4.38,5.31,0.35,0.63,4.96,0.02,0.93,25.48,2025,7.18,0.58,10.12,0,0,0,NA,31.69,2025,0,NA,71.18,34.47,19.54,3.43,0.13,3.3,2025,0.96,3.46,4.08,-1.72,0.01,0.35,38.5,5.16,2025,0.01,2.04,2.03,0.96,0.64,99.76,99.78,10.37,2025,0,0.75,31.88,38.44,6.67,3.45,12.09,11.75,2025,15.71,4.1,0.19,0.33,1.39,0.39,0,0,2025,NA,NA,NA,11.23,0.03,NA,NA,NA,2025,80.57,0,0,0.27,9.83,1.07,100.56,0.18,2025,25.43,29.45,21.17,8.28,290.25,34.84,15.08,0.02,2025,-64.41,25.88,25.67,23.76,19.98,14.82,13.44,25.44,2025,24.71,14.93,-1.26,-2.01,-0.06,0.22,0.07
108.025131,34.300369,2025,6,25,176,2025-06-25,8.94,74.94,20.26,15.52,23.85,1.56,33.43,92.68,2025,17.89,18.11,81.9,3.3,7.11,0.48,0.18,98.01,2025,7.26,85.3,41.44,0.45,20.8,84.5,2.32,0.22,2025,4.32,26.69,0.43,11.91,5.74,0.49,4.17,0.82,2025,3.35,5.83,1.15,0.61,4.68,0.02,1.04,20.98,2025,2.68,0.64,11.84,0,0,0,NA,24.9,2025,0,NA,71.19,27.72,16.51,3.11,0.54,2.57,2025,0.69,3.72,4.09,-1.36,-0.13,0.28,35.78,4.28,2025,0.04,1.83,1.55,0.69,0.46,99.63,95.31,22.03,2025,0,0.84,30.33,35.7,6.98,4.86,12,14.69,2025,19.63,4.49,0.19,0.33,2.16,0.31,0,0,2025,NA,NA,NA,8.82,0.12,NA,NA,NA,2025,83.73,0,0,0.21,11.54,1.09,100.87,0.18,2025,20.25,22.94,18.32,4.62,291.27,37.94,16.4,0.03,2025,-60.41,22.35,24.06,23.59,20.06,14.92,13.44,20.8,2025,19.3,11.21,-0.99,-1.41,-0.08,-0.2,0.07
108.025131,34.300369,2025,6,26,177,2025-06-26,23.42,59.93,23.83,14.65,31.58,1.2,33.57,92.4,2025,19.24,16.33,110,2.39,10.38,15.59,0.15,57.16,2025,0.13,104.9,41.43,0.45,25.87,106.2,1.78,0.57,2025,10.48,26.93,0.43,11.29,15.25,0.41,4.32,0.42,2025,3.9,7.41,0.06,1.33,7.35,0.03,1.89,23.96,2025,5.66,0.65,11.94,0,0,0,NA,74.41,2025,0,NA,71.18,37.96,15.24,2.92,0.35,2.57,2025,0.58,3.35,4.1,-1.46,0.42,0.74,39.07,6.66,2025,3.83,13.04,3.22,0.58,0.38,48.52,71.58,3.55,2025,0,0.85,31.68,39.03,6.03,5.91,10.25,16.69,2025,22.18,3.64,0.15,0.33,2.43,1.65,0,0,2025,NA,NA,NA,12.8,10.62,NA,NA,NA,2025,81.17,0,0,0.56,11.07,1.08,100.48,0.15,2025,23.53,30.33,17.24,13.09,312.7,33.68,20.16,0.06,2025,-49.77,24.52,23.28,23.1,20.11,15.01,13.44,25.87,2025,25.62,22.72,-1,-1.91,0.27,0.69,0.07
108.025131,34.300369,2025,6,27,178,2025-06-27,22.77,53.36,26.97,15.85,34.15,1.16,35.33,91.99,2025,21.41,19.29,195.6,2.88,9.94,15.2,0.17,67.4,2025,2.35,190.6,41.41,0.45,28.18,189.8,1.76,0.55,2025,10.37,27.67,0.43,12.32,14.86,0.4,3.7,0.15,2025,3.55,6.66,0.29,1.36,6.37,0.04,2.17,26.72,2025,8.42,0.67,12.45,0,0,0,NA,67.43,2025,0,NA,71.18,39.14,17.84,2.51,0.06,2.45,2025,0.51,3.78,4.11,0.2,1.17,0.72,41.02,6.24,2025,4.13,12.83,3.79,0.51,0.33,60.92,78.21,4.94,2025,0,0.87,33.47,40.98,5.81,6.64,9.84,17.83,2025,23.87,4.56,0.18,0.33,3,1.51,0,0,2025,NA,NA,NA,12.44,10.33,NA,NA,NA,2025,79.61,0,0,0.55,11.89,1.06,99.97,0.17,2025,26.87,33.32,19.97,13.35,300.29,37.1,13.05,0.01,2025,-62.39,26.58,24.6,22.95,20.13,15.1,13.44,28.18,2025,29.23,21.3,0.15,0.54,0.8,1.92,0.07
108.025131,34.300369,2025,6,28,179,2025-06-28,28.32,53.7,28.71,17.35,35.42,1.95,34.88,91.72,2025,23.03,22.46,98.1,4.51,7.2,27.79,0.17,19.75,2025,2.24,80.4,41.39,0.45,30.06,81.6,2.91,0.68,2025,12.88,28.71,0.43,13.6,12.96,0.41,4.55,0.17,2025,4.38,7.23,0.35,1.66,6.88,0.04,2.4,28.94,2025,10.64,0.69,13.04,0,0,0,NA,83.3,2025,0,NA,71.18,40.82,21.61,3.22,0.14,3.08,2025,0.32,3.93,4.13,-0.69,-0.1,0.9,41.76,4.98,2025,7.9,21.13,4.61,0.33,0.21,11.7,33.15,2.11,2025,0,0.91,34.49,41.75,4.76,8.28,7.85,20.86,2025,28.85,4.68,0.18,0.33,3.2,1.58,0,0,2025,NA,NA,NA,8.51,19.82,NA,NA,NA,2025,78.12,0,0,0.68,13.23,1.05,99.64,0.17,2025,28.5,34.41,23.02,11.39,317.46,38.7,21.27,0.11,2025,-46.72,28.59,26.09,23.2,20.16,15.19,13.44,30.06,2025,30.71,19.21,-0.52,-0.63,-0.09,0.09,0.07
